ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"172.67.70.248","elite","AS13335","CA","Cloudflare, Inc.","64","Cloudflare, Inc.","80","http","1407","9280","2025-09-17T07:21:57.770Z","100","61","61"
"103.88.221.194","elite","AS136334","IN","Vortex Netsol Private Limited","182","Vortex Netsol Private Limited","46450","socks4","3016","1","2025-09-17T07:21:57.676Z","100","3799","3814"
"94.101.179.153","elite","AS202468","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","81","Noyan Abr Arvan Co. ( Private Joint Stock)","9050","socks5","4136","1","2025-09-17T07:21:57.579Z","69","7200","10442"
"104.21.91.83","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","897","9285","2025-09-17T07:21:57.692Z","100","17","17"
"109.72.100.109","elite","AS43940","ME","Drustvo za telekomunikacije \"MTEL\" DOO","34","FTTH Users Podgorica AZ","48293","socks4","4207","1","2025-09-17T07:21:57.587Z","95","760","797"
"147.161.162.173","elite","AS62044","ZA","Zscaler JNB3","175","Zscaler, Inc.","30001","socks4","4710","61","2025-09-17T07:21:57.584Z","95","3266","3447"
"139.162.182.54","elite","AS63949","DE","Akamai Technologies, Inc.","3","Linode, LLC","11127","socks5","3802","1","2025-09-17T07:21:57.673Z","96","10075","10521"
"185.93.89.156","elite","AS213790","GB","Limited Network LTD","18","Limited Network LTD","11075","socks4","1408","1","2025-09-17T07:21:48.278Z","97","599","616"
"27.73.22.217","elite","AS7552","VN","Newass2011xDSLHN","201","N/A","1080","socks4","4907","1","2025-09-17T07:21:48.278Z","91","924","1020"
"92.205.107.159","elite","AS21499","FR","Host Europe GmbH","12","GCN SXB1","56013","socks4","4405","1","2025-09-17T07:21:48.281Z","100","3038","3040"
"177.91.83.116","elite","AS263433","BR","Click Fibra","277","Edson Rabello Baia","4153","socks5","4617","1","2025-09-17T07:21:48.282Z","64","6775","10550"
"177.72.113.161","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","219","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","3416","1","2025-09-17T07:21:48.271Z","99","598","602"
"31.29.109.134","elite","AS197618","FR","SDNum","61","Wizeo SAS","8081","socks4","4593","1","2025-09-17T07:21:48.281Z","99","2285","2319"
"195.66.156.196","elite","AS39043","UA","PP Info-Center","25","PP Info-Center","1080","socks5","2610","1","2025-09-17T07:21:48.282Z","99","3852","3881"
"189.85.112.20","elite","AS270540","BR","WEBNET Telecom","220","WEBNET Telecom","7497","socks5","1322","1","2025-09-17T07:21:48.280Z","100","10410","10439"
"67.227.186.83","elite","AS32244","US","Liquid Web, L.L.C","108","SourceDNS","63716","socks4","2212","1","2025-09-17T07:21:48.276Z","100","3482","3485"
"190.90.100.233","elite","AS18678","CO","Internexa S.a. E.S.P","182","Jasz Comunicaciones Tecnologicas E Interactivas E.U","5678","socks4","2673","1","2025-09-17T07:21:48.277Z","86","9024","10483"
